Date,Time,Latitude,Longitude,Depth[km],Magnitude(ML),Event_type,N.Stations,ID
2008/07/12,17:22:40.276000,53.4443,-168.0978,5.05,0.25,VT,5,ok08_158
2008/07/12,17:23:46.556000,53.4532,-168.1211,3.65,0.87,VT,9,ok08_159
2008/07/12,17:30:30.127000,53.4459,-168.1024,4.85,0.8,VT,7,ok08_161
2008/07/12,17:35:27.879000,53.4506,-168.0954,7.25,0.89,VT,7,ok08_163
2008/07/12,17:41:28.510000,53.4482,-168.1082,6.55,1.16,VT,9,ok08_164
2008/07/12,17:49:00.094000,53.4408,-168.073,8.05,0.45,VT,5,ok08_165
2008/07/12,17:53:27.648000,53.4464,-168.0945,2.65,0.42,VT,7,ok08_166
2008/07/12,17:56:25.211000,53.452,-168.1099,2.65,1.58,VT,8,ok08_170
2008/07/12,18:03:28.351000,53.4476,-168.1185,2.95,1.31,VT,9,ok08_173
2008/07/12,18:09:14.914000,53.4527,-168.1211,3.75,0.34,VT,7,ok08_176
2008/07/12,18:12:59.122000,53.4532,-168.1189,2.55,0.63,VT,4,ok08_178
2008/07/12,18:15:37.327000,53.4514,-168.1033,5.65,0.65,VT,6,ok08_181
2008/07/12,18:18:37.015000,53.4539,-168.1277,2.15,0.41,VT,7,ok08_182
2008/07/12,18:20:34.873000,53.4483,-168.1221,2.45,0.93,VT,9,ok08_185
2008/07/12,18:21:21.645000,53.4506,-168.1391,1.95,0.68,VT,5,ok08_186
2008/07/12,18:23:02.316000,53.4489,-168.0452,13.05,0.62,VT,4,ok08_188
2008/07/12,18:23:41.612000,53.4479,-168.1149,3.95,0.21,VT,7,ok08_189
2008/07/12,18:24:33.182000,53.4466,-168.0274,12.85,0.81,VT,6,ok08_190
2008/07/12,18:25:03.345000,53.4502,-168.112,3.05,0.9,VT,9,ok08_191
2008/07/12,18:26:58.957000,53.4507,-168.1205,3.75,0.49,VT,5,ok08_192
2008/07/12,18:29:12.478000,53.4521,-168.0998,5.55,1.4,VT,9,ok08_194
2008/07/12,18:32:52.656000,53.4455,-168.1017,3.65,1.1,VT,9,ok08_195
2008/07/12,18:33:20.941000,53.4414,-168.0955,8.85,0.82,VT,6,ok08_196
2008/07/12,18:34:05.546000,53.458,-168.1108,3.95,0.19,VT,6,ok08_198
2008/07/12,18:34:24.220000,53.4465,-168.0273,12.85,0.78,VT,7,ok08_199
2008/07/12,18:36:08.161000,53.4474,-168.1202,1.45,0.19,VT,6,ok08_201
2008/07/12,18:37:50.822000,53.4425,-168.0886,8.65,0.3,VT,5,ok08_203
2008/07/12,18:39:35.077000,53.4488,-168.1093,6.75,0.6,VT,6,ok08_204
2008/07/12,18:39:53.748000,53.4447,-168.0685,8.75,0.44,VT,5,ok08_205
2008/07/12,18:39:59.680000,53.4531,-168.0108,11.05,0.8,VT,7,ok08_206
2008/07/12,18:41:13.575000,53.4485,-168.1127,3.55,1.06,VT,9,ok08_208
2008/07/12,18:41:31.295000,53.4439,-168.0795,5.75,1.24,VT,4,ok08_209
2008/07/12,18:41:45.118000,53.4519,-168.0998,7.15,0.54,VT,6,ok08_210
2008/07/12,18:42:11.805000,53.4481,-168.1125,4.05,1.25,VT,8,ok08_211
2008/07/12,18:42:37.543000,53.4484,-168.0243,12.15,0.92,VT,6,ok08_212
2008/07/12,18:42:59.204000,53.4491,-168.1031,6.25,0.88,VT,6,ok08_214
2008/07/12,18:43:52.534000,53.4369,-168.0908,4.25,1.82,VT,10,ok08_216
