Date,Time,Latitude,Longitude,Depth[km],Magnitude(ML),Event_type,N.Stations,ID
2008/06/26,10:51:32.192354,53.3977,-168.2007,2.55,0.85,VT,8,ok08_61
2008/06/26,16:38:54.038194,53.3035,-168.0076,7.92,0.85,VT,5,ok08_62
2008/06/26,19:07:14.084402,53.4296,-167.9737,14.59,0.73,VT,3,ok08_63
2008/06/26,22:02:29.559048,53.2739,-168.3116,2.39,0.77,VT,6,ok08_64
2008/06/26,23:50:28.009768,53.4208,-168.3421,0.88,0.66,VT,5,ok08_65
2008/06/27,07:53:12.500812,53.1919,-168.441,2.77,0.72,VT,3,ok08_66
2008/06/27,08:10:33.646616,53.3028,-168.2772,2.14,0.78,VT,5,ok08_67
2008/06/27,19:58:08.853718,53.3681,-168.0783,0.28,0.41,VT,6,ok08_68
2008/06/30,07:17:43.190012,53.22,-168.2365,3.9,1.18,VT,8,ok08_69
2008/06/30,08:04:02.898037,53.4406,-168.0327,11.45,0.82,VT,4,ok08_70
2008/06/30,12:54:25.906185,53.2889,-168.2976,9.18,1.11,VT,7,ok08_71
2008/06/30,15:51:21.986307,53.4167,-168.2323,5.28,0.16,VT,5,ok08_72
2008/06/30,16:38:29.296951,53.2512,-168.341,2.39,0.51,VT,7,ok08_73
2008/06/30,19:32:57.298010,53.254,-168.368,1.89,1.29,VT,8,ok08_74
2008/07/01,12:00:50.862162,53.2337,-168.4056,1.38,2.25,LP,7,ok08_75
2008/07/01,15:56:14.620356,53.2062,-168.1864,3.9,1.22,VT,6,ok08_76
2008/07/01,16:08:32.604043,53.257,-168.2645,3.9,1.32,VT,7,ok08_77
2008/07/01,16:36:36.692544,53.2724,-168.287,2.08,1.17,VT,7,ok08_78
2008/07/01,16:58:21.017513,53.3007,-168.4861,0.75,1.18,VT,6,ok08_79
2008/07/01,17:54:01.678415,53.2379,-168.2378,3.21,1.37,VT,6,ok08_80
2008/07/02,14:15:13.744983,53.2774,-168.2539,1.32,1.23,VT,9,ok08_81
2008/07/05,22:35:35.514239,53.1925,-168.3122,9.69,1.13,VT,5,ok08_82
2008/07/06,00:02:34.595802,53.3041,-168.0138,1.38,0.89,VT,5,ok08_83
2008/07/06,00:53:30.009297,53.3907,-167.8995,5.91,1.47,VT,12,ok08_84
2008/07/06,17:16:20.008789,53.4029,-167.9782,14.84,1.13,VT,3,ok08_85
2008/07/06,18:28:57.106413,53.4406,-168.1004,4.18,0.83,VT,6,ok08_86
2008/07/07,21:17:04.184828,53.6432,-168.1779,6.98,1.51,VT,11,ok08_87
2008/07/07,22:45:10.380788,53.5254,-168.1877,1.45,1.98,LP,9,ok08_88
2008/07/08,18:07:26.823629,53.3871,-168.1309,2.7,0.47,VT,7,ok08_89
2008/07/08,23:13:13.710087,53.3777,-168.0825,4.25,0.84,VT,8,ok08_90
2008/07/09,01:43:06.110418,53.4608,-167.9114,2.14,1.56,VT,9,ok08_91
2008/07/09,19:02:49.054395,53.2374,-168.2328,9.43,1.5,VT,9,ok08_92
2008/07/09,20:26:57.840029,53.3243,-168.2626,0.06,0.36,VT,7,ok08_93
2008/07/10,06:21:14.038749,53.4816,-168.1829,6.35,0.67,VT,5,ok08_94
2008/07/10,07:07:42.073495,53.3809,-168.0713,4.28,0.53,VT,3,ok08_95
2008/07/10,10:24:03.064014,53.4203,-168.1507,0.13,0.14,VT,6,ok08_96
2008/07/10,11:49:28.968640,53.4766,-168.0927,11.26,0.54,VT,6,ok08_97
2008/07/10,11:50:25.394504,53.4535,-168.0497,12.2,0.43,VT,6,ok08_98
2008/07/10,21:50:30.761860,53.3991,-168.0963,2.86,0.58,VT,8,ok08_99
2008/07/10,23:27:16.342931,53.2742,-167.9458,6.41,1.09,VT,8,ok08_100
2008/07/11,06:25:17.972344,53.281,-168.1499,9.62,1.43,VT,9,ok08_101
2008/07/11,07:02:04.656320,53.2542,-168.3991,11.95,1.07,VT,5,ok08_102
2008/07/11,09:49:52.100706,53.4426,-168.1032,4.97,0.14,VT,6,ok08_103
2008/07/11,15:47:36.023603,53.4462,-168.1071,3.93,0.7,VT,8,ok08_104
2008/07/12,02:22:42.505580,53.3736,-168.3835,0.06,1.1,VT,7,ok08_105
2008/07/12,11:23:19.857621,53.4298,-168.1107,5.09,0.5,VT,7,ok08_106
2008/07/12,14:36:34.985290,53.4398,-168.0376,14.53,0.96,VT,7,ok08_107
2008/07/12,14:47:00.743980,53.4307,-168.1001,1.64,0.44,VT,4,ok08_108
2008/07/12,14:49:22.887765,53.45,-168.1229,0.25,0.38,VT,4,ok08_109
2008/07/12,14:55:15.648685,53.4458,-168.0828,8.68,0.52,VT,5,ok08_110
2008/07/12,14:57:57.201910,53.4321,-168.0988,2.08,0.75,VT,7,ok08_111
2008/07/12,15:01:30.684818,53.3692,-168.1016,4.15,0.45,VT,5,ok08_112
2008/07/12,15:07:51.720213,53.4344,-168.1191,1.57,1.19,VT,10,ok08_113
2008/07/12,15:09:29.571852,53.439,-168.0943,4.59,0.37,VT,6,ok08_114
2008/07/12,15:21:32.436257,53.4499,-168.1247,0.06,0.47,VT,4,ok08_115
2008/07/12,15:23:32.178286,53.439,-168.0959,4.47,0.4,VT,6,ok08_116
2008/07/12,15:33:21.344879,53.4437,-168.0923,7.48,0.23,VT,6,ok08_117
2008/07/12,15:34:03.339374,53.4475,-168.0477,13.27,0.66,VT,6,ok08_118
2008/07/12,15:35:48.470333,53.4361,-168.1041,0.69,0.4,VT,4,ok08_119
2008/07/12,15:37:19.738171,53.4478,-168.1255,0.13,0.31,VT,4,ok08_120
2008/07/12,15:46:41.559409,53.4371,-168.0836,7.17,0.4,LP,4,ok08_121
2008/07/12,15:47:24.542752,53.442,-168.0937,5.19,0.63,VT,7,ok08_122
2008/07/12,15:47:41.528265,53.4349,-168.1285,5.85,0.56,VT,7,ok08_123
2008/07/12,15:48:40.473728,53.4402,-168.0922,4.97,0.3,VT,6,ok08_124
2008/07/12,15:54:00.310277,53.4396,-168.0985,3.84,0.52,VT,6,ok08_125
2008/07/12,15:54:45.788390,53.4323,-168.0822,7.23,0.5,VT,6,ok08_126
2008/07/12,15:56:44.134758,53.4331,-168.1227,7.86,0.7,VT,7,ok08_127
